distance (um),rise (mv)
0.0,--
142.4231691177718,0.2584024525272639
50.19022872804342,0.2647094983185809
60.11547820663976,0.2623877269665371
101.78441556215405,0.26028951493483987
55.475477346729335,0.2647873175465918
105.17527815435788,0.2607322967665766
93.13049197930603,0.2606030458815667
28.004247939172366,0.2650240891126714
49.40906777106748,0.26450621309138
66.39030862049363,0.2617857262747094
82.87914443860977,0.26107414405676366
118.23110421467825,0.2597783470542936
50.25158281432057,0.26399586633665706
117.36496954907335,0.25994747746457847
128.20939216359466,0.2597477883983572
78.72092058168857,0.261191201128284
82.1063194285433,0.2619789347269972
30.394685057351097,0.26545827540316225
90.2324167845324,0.2611613462750313
81.9399156350414,0.26086325723466075
54.67879166766617,0.26279651460821185
72.31164800218639,0.2618299952401628
111.71889823466853,0.26021219945397434
83.72814317284109,0.26198997318438444
64.8565203699806,0.26293268924774793
149.5118746485416,0.25824243286731985
68.47637200877415,0.26304790684129387
62.35190043680043,0.26264265759159855
120.52496182585762,0.2591625861489888
125.12862967835987,0.25878011680080704
124.07983119439693,0.2601277193921163
119.59523766932088,0.2597038517240975
53.520572237938026,0.2624959333924153
119.13361755338141,0.25944383498868717
23.567549723494693,0.26658276859348007
85.19845346670857,0.26256863358975124
144.6987396610655,0.25817516483067493
150.47457373091135,0.2581227394833263
149.6197927390204,0.2581907355314996
93.82114519189808,0.26157408537234517
55.471596170759355,0.2626314788857371
104.19879596037052,0.260102562526626
37.07930973009877,0.26402695107395857
54.78193226154331,0.26336804399554126
74.9519639921814,0.2629973595731059
134.2635079003609,0.25887710348747817
78.41970604995855,0.26203572520213925
138.09982925703883,0.2587972855083791
43.26795105217566,0.2653766577177237
76.46936979014666,0.2625919006012225
108.66718494860602,0.260219160603981
124.59271696074808,0.25962373085590684
102.22133591406093,0.26077961522798887
96.681898422448,0.261048934887782
99.45356672899398,0.2604347640980649
23.636146394887135,0.26634837246041343
31.739071818990702,0.26460345380689887
83.86275142902574,0.2614855872940609
115.74248475472443,0.260115184058904
71.24299684596967,0.26333476966706826
144.38422892789865,0.2584411382252796
100.26797989594436,0.2608062816328669
151.37953389444564,0.25809619718621946
136.85942462371995,0.2583330066552634
53.80562793880786,0.2644854787662325
73.56990407409697,0.26323270013357103
82.12578663196133,0.26101445825165115
47.699870941016556,0.2631682906835948
