Pulse,0
Type,square pulse
Delay,0.01
Duration,0.2
0,-1.8970424160609384e-15,-1.8973061957833976e-15,-1.8978337918923736e-15,-1.898625276997467e-15,-1.8996807206823655e-15,-1.900998090291751e-15,-1.9024602039413437e-15,-1.8910935047554297e-15,5.27026022996867e-15,1.1216389183420911e-12,5.271703560919237e-15,-1.8778862272716355e-15,-1.8473689708209952e-15,-1.801837100372711e-15,-1.7744555943213024e-15,-1.7649543984498763e-15,-1.7732377754615588e-15,-1.7993891912947787e-15,-1.843666305598971e-15,-1.8732485895157842e-15,5.276147367942031e-15,1.1484932299604268e-12,5.274849073686202e-15,-1.8851142052724986e-15,-1.887094759941729e-15,-1.8868195915605095e-15,-1.9055511153786708e-15,-1.9434839341295305e-15,-2.0010002796299788e-15,-2.078679714092203e-15,-2.177299085582536e-15,-2.248599007921549e-15,4.92655617079178e-15,-9.562325808226382e-13,4.916520339052487e-15,-2.3403203743860344e-15,-2.513001611050251e-15,-2.7545178625147273e-15,-3.0237841441599926e-15,-3.3235196021096776e-15,-3.656744523948852e-15,-4.026816650844173e-15,-4.437458903209909e-15,-4.750728894323051e-15,2.6068551908760225e-15,-1.4913484684540222e-11,2.541730042938659e-15,-5.34593293073878e-15,-6.615920758885655e-15,-8.41250789608496e-15,-1.029385764180522e-14,-1.2278933500108253e-14,-1.4387738100615693e-14,-1.664152082268812e-14,-1.906298435679328e-14,-2.0936046708179404e-14,-1.2396792680504583e-14,-1.0518662573826721e-10,-1.2817796010412803e-14,-2.4783759753635285e-14,-3.3145711603718373e-14,-4.4992943839362833e-14,-5.729354042266994e-14,-7.017145568508608e-14,-8.375645412191653e-14,-7.934060962029505e-12,-0.5822628189962582,-1.0019275891052342,-1.022269773875172,-1.0245428235324776,-1.0268207177762496,-1.0472139439419403,-1.107414862415997,-1.189940203845162,-1.2714854826937012,-1.4965282181688266,-1.7210250657389043,-1.8426209287889888,-1.9644477802984273,-2.0528277792586964,-2.082734650087034,-2.086076473624865,-2.0896963486069504,-2.121610746533584,-2.215989574877014,-2.3464210636739473,-2.477133348694325,-2.709677866757425,-2.943669893288985,-2.9672281294093414,-2.992483052495098,-3.011430395621939,-3.0178758489500543,-3.0185966530102197,-3.019644904273191,-3.029033926535523,-3.15168226787498,-3.32139670530724,-3.4922213617065974,-3.5780014476143465,-3.6655039491584795,-3.754684618181181,-3.827430861554313,-3.8812409750068357,-3.89960136736045,-3.9016545763065,-3.9055924098344317,-3.9408583828326593,-3.998049315225476,-4.0791811001286415,-4.163190355865827,-4.157163258213274,-4.154684618255494,-4.155760919381876,-4.028553157487237,-3.9382360993494956,-3.9078843971438713,-3.9044957098216524,-3.9031547168796044,-3.8911707167267418,-3.8562842192357762,-3.761650550636375,-3.6690509491016208,-3.488789544529399,-3.3099416231019925,-3.13183009783885,-3.0511728985106528,-2.992957387409736,-2.973318600136528,-2.971125712142144,-2.969793002559425,-2.9578743757420534,-2.922897640622638,-2.717650002399122,-2.5132449799361902,-2.3091266752485495,-2.0960430837299118,-1.8820600401611425,-1.8208730932480561,-1.7759521675021261,-1.7607255798826682,-1.7590249541001362,-1.7574102802494287,-1.7429619596154748,-1.7002916620468096,-1.5302437622790528,-1.3606604822766717,-1.1913178201885384,-1.0619815029280413,-0.9328167503452192,-0.8039771775596233,-0.5351114717476927,-0.4440502920524638,-0.43387609097786833,-0.4219836510614903,-0.3155239495854153,-5.926089828034803e-12,-5.687893305870388e-14,-4.8617303719327744e-14,-4.08455669920441e-14,-3.348541084938828e-14,-2.6462670634978633e-14,-1.970657498885229e-14,-1.49370413750735e-14,-5.036985596077394e-15,-5.945611113469361e-11,-4.796244338868335e-15,-1.2736813466793841e-14,-1.1653685091054898e-14,-1.0250548934687157e-14,-8.950695661205794e-15,-7.741034120883622e-15,-6.609375154247942e-15,-5.5443155917928546e-15,-4.5351173784897115e-15,-3.820712114988875e-15,3.747207270907386e-15,-7.82823423327476e-12,3.784486484898607e-15,-3.4800028905995244e-15,-3.2881129836965205e-15,-3.0338395681836127e-15,-2.8101306528384928e-15,-2.6147380331644803e-15,-2.4456928359296004e-15,-2.3012916746973366e-15,-2.1800736234398904e-15,-2.0921687592476756e-15,5.1143158885537495e-15,2.0789353892869834e-13,5.120311900350329e-15,-2.0373688772243203e-15,-1.9795046666124024e-15,-1.8975051609543505e-15,-1.8346200044608568e-15,-1.7902214051592117e-15,-1.7638619818753494e-15,-1.7552761221791743e-15,-1.764371465717704e-15,-1.7679116632499889e-15,5.378507111200939e-15,1.7681611182614372e-12,5.380913271905718e-15,-1.7459208254690693e-15,-1.6838844421945212e-15,-1.5932392090693889e-15,-1.5186424118144411e-15,-1.459348221775258e-15,-1.4147591622682298e-15,-1.384425931385853e-15,-1.36804287615719e-15,-1.3664988093043046e-15
1,-1.5043957576053484e-15,-1.509000106050792e-15,-1.518222894994586e-15,-1.5320923516726257e-15,-1.550650924893582e-15,-1.573955410734054e-15,-1.6020697008586525e-15,-1.619348718267232e-15,4.6021970204509116e-15,7.687613773761013e-13,4.600346097100921e-15,-1.6378617647517112e-15,-1.6612658114153494e-15,-1.6955706657820682e-15,-1.7472992376381423e-15,-1.8169859206631038e-15,-1.9053469299273154e-15,-2.0132904075578365e-15,-2.1419229812822813e-15,-2.235911525064398e-15,4.031541399410227e-15,-3.0416686210519537e-12,4.018935206225306e-15,-2.3620174731987364e-15,-2.6386694405299635e-15,-3.044636909726552e-15,-3.4818932868003045e-15,-3.954935307326252e-15,-4.468624727121804e-15,-5.028241060348206e-15,-5.639532880255956e-15,-6.095792340961687e-15,4.677446099870444e-16,-2.6831140689793827e-11,3.9009099402213316e-16,-6.872599639062491e-15,-8.699470024840644e-15,-1.1381291821299876e-14,-1.418008349597025e-14,-1.712461295616224e-14,-2.0245143014614108e-14,-2.357374535356948e-14,-2.714462604756799e-14,-2.9822680964960606e-14,-2.1437714879089502e-14,-1.7305589660415352e-10,-2.1914853673972278e-14,-3.459573491056751e-14,-4.594625818590802e-14,-6.260975091628046e-14,-2.34942998046102e-12,-0.49618355552388005,-0.9830611318495768,-1.1570646552806514,-1.3297848545691482,-1.4940232100691588,-1.5447967938106013,-1.5499241464341753,-1.555736185681004,-1.6133153753147587,-1.7998586921136568,-1.8668966245763807,-1.9347886385361583,-2.0014620802366556,-2.2016512976757197,-2.399621648179446,-2.6264311766712924,-2.7855873834919525,-2.8349436323313384,-2.8399290483038526,-2.8471988565909045,-2.9192288602148757,-2.984577818568668,-3.081116510201902,-3.266630911776389,-3.456901420295921,-3.5592753926121254,-3.6684317079986153,-3.784579628374198,-3.7609299924636552,-3.7540732747597163,-3.753384914499202,-3.7570326696316356,-3.793201610312643,-3.9117197331514397,-4.024088193990509,-4.147237608723447,-4.133187966579904,-4.132670532385456,-3.998004593627845,-3.874211566182038,-3.7934001990740605,-3.738344196013729,-3.7327902058769635,-3.732401605910119,-3.728597185419469,-3.7179943675628153,-3.7108247508054886,-3.4069097902096646,-3.109799686740981,-3.0210490125999483,-2.936385485545303,-2.6969496124125767,-2.531473340700197,-2.4804431484822285,-2.4752926390032033,-2.4712960076753534,-2.4317255262237363,-2.30395589919269,-2.1339417590060803,-1.9643653227178197,-1.770281627087187,-1.5758794750920053,-1.4150930379268671,-1.2534258721960894,-1.0983487896391027,-1.0502559865246253,-1.0454000982333973,-1.0390446830786377,-0.976091355172909,-0.7716195682250269,-0.39165956429875104,-1.8743964547799707e-12,-6.948588044855772e-14,-5.6716369035189477e-14,-4.452976802373253e-14,-3.2800824328609766e-14,-2.4811482927702187e-14,-1.404283586873097e-14,-1.2144923444457297e-10,-1.3706688063016969e-14,-2.1448831163524165e-14,-1.955493559575658e-14,-1.7028613745886933e-14,-1.4677302149939613e-14,-1.2476838573454605e-14,-1.0404607445722932e-14,-8.439311121799195e-15,-6.56074811672267e-15,-5.2810275927467926e-15,1.6704983062221784e-15,-1.8437262624655087e-11,1.7251889726586584e-15,-4.7339299682774725e-15,-4.405664935963907e-15,-3.964920899221006e-15,-3.5649239932648985e-15,-3.201566090407044e-15,-2.871112729609249e-15,-2.5701676298947854e-15,-2.295635022965576e-15,-2.1085600313833813e-15,4.222176434875639e-15,-1.7099110847705475e-12,4.230951134682237e-15,-2.02078239522683e-15,-1.949868383033191e-15,-1.8522858855518732e-15,-1.7737377481364233e-15,-1.713419447365872e-15,-1.6707110539594393e-15,-1.6451736259813043e-15,-1.6365419527221959e-15,-1.6309311492774636e-15,4.601738374827938e-15,7.739973013454722e-13,4.602387760458982e-15,-1.624440413825549e-15,-1.623213914872094e-15,-1.6138993373348626e-15,-1.6061363904563945e-15,-1.5999350460189655e-15,-1.5952893057954249e-15,-1.5921946528249536e-15,-1.5906480782008955e-15
2,1.7419307808346323e-16,-2.302263617091184e-13,1.7936158622045854e-16,1.9602380075714782e-16,1.8405025531683734e-16,1.69099193745459e-16,1.5587131576836932e-16,1.4423183693144023e-16,1.3406214568867763e-16,1.252586082891731e-16,1.1773150534753375e-16,1.1318907297934225e-16,1.0027210624617297e-16,-7.459649960029919e-13,9.83799125943549e-17,9.529895063282642e-17,5.030120464970872e-17,-1.2230118378373424e-17,-7.488608013467971e-17,-1.3830516488911303e-16,-2.031336417714422e-16,-2.7003214224962135e-16,-3.396823638805416e-16,-3.918058689238249e-16,-3.6669803393999003e-16,-3.681838843284309e-12,-3.7856925440669085e-16,-5.04044690963887e-16,-7.627257267787846e-16,-1.1326071669508284e-15,-1.5140303634107932e-15,-1.910882213432645e-15,-2.3272068167035033e-15,-2.7672467090036142e-15,-3.2354858405192827e-15,-3.5926193546346656e-15,-3.3274786156513735e-15,-2.229726865713804e-11,-3.4028767680698668e-15,-4.305486227521636e-15,-5.922377895544729e-15,-8.245753604502478e-15,-1.0653157050743457e-14,-1.3169120981257674e-14,-1.5819284205465495e-14,-1.863065308380593e-14,-2.1631875039715122e-14,-2.3927266192703152e-14,-2.2137360121901767e-14,-1.4056148679671063e-10,-2.2616386135618714e-14,-2.845631319818588e-14,-3.8702468272061654e-14,-5.3437173337847815e-14,-6.871642632754302e-14,-1.4398460500769703e-11,-0.4666528264985018,-0.9318112593586685,-1.1020963462274835,-1.2236003971136213,-1.2632248090915825,-1.267483927867062,-1.2716684047475406,-1.31059741742636,-1.409866138088208,-1.5487733683579257,-1.6875300692973187,-1.9177923181390963,-2.148134086077883,-2.297646765515715,-2.4475144304958585,-2.554790519061915,-2.577294482845389,-2.579713645513395,-2.5824245130961385,-2.6076467489757276,-2.685053313871632,-2.7936724887501607,-2.9233817431111437,-3.053316440804072,-3.183517949239089,-3.3433726416438074,-3.503702965178192,-3.549164631532031,-3.5640438731310407,-3.5656436093187205,-3.5677183807769084,-3.5870241940877134,-3.646354806724344,-3.7299551084442735,-3.8491768724699096,-3.9692310941144378,-4.04087725586666,-4.1136546521884565,-4.187639868691563,-4.163514855710266,-4.1557531729535295,-4.1549197306912555,-4.155144253886896,-4.1572409697843495,-4.163997452808241,-4.174743745269309,-4.038926879587671,-3.90447065006514,-3.8181789711921534,-3.733006166047704,-3.648946632755593,-3.4640119344113316,-3.4037538441092012,-3.3972772096617954,-3.3913083109565285,-3.3357815001103717,-3.1656700992778384,-3.0800749013073667,-2.994834641912635,-2.910182645248942,-2.5985249406876103,-2.2870638013735096,-2.1986060818385758,-2.1352882300440053,-2.1146311177948203,-2.1124107263276755,-2.1102058706527584,-2.0896936475959347,-2.0268344346971197,-1.8104193170184444,-1.5940009941507927,-1.4270047655177849,-1.259678851555338,-1.0919501989502223,-0.9765582568806237,-0.8938902046983813,-0.8668971289635719,-0.8639954667381857,-0.8608184850815671,-0.8312600678120521,-0.48546843153767855,-1.4974818623758812e-11,-7.134716826547331e-14,-5.950333217203642e-14,-4.8265862380100106e-14,-3.7520243536085796e-14,-2.715697190578678e-14,-1.995015748028224e-14,-1.5849210276364935e-14,-9.890774257243614e-11,-1.5512348361670676e-14,-1.6765229308701244e-14,-1.515254509690537e-14,-1.3043512166858747e-14,-1.106739733124073e-14,-9.20406427532581e-15,-7.43452479353157e-15,-5.740746478881511e-15,-4.105468815766579e-15,-2.9669964271655886e-15,-2.3380713750703836e-15,-1.5743155754205693e-11,-2.28505664386081e-15,-2.46575807526875e-15,-2.2162333966321366e-15,-1.888641869174476e-15,-1.5802962804512106e-15,-1.2880546248948228e-15,-1.0089388280153906e-15,-7.401045737125406e-16,-4.788123075796127e-16,-2.956507826298057e-16,-2.1308157217431933e-16,-2.663504331228628e-12,-2.0477873034613605e-16,-2.1714990826779253e-16,-1.8293185127274735e-16,-1.3681159173780871e-16,-9.208548817674268e-17,-4.8297777348454985e-17,-5.002242696265914e-18,3.8242316840428105e-17,8.187657391868438e-17,1.1360623270523005e-16,1.1102062262961192e-16,-6.699738524391159e-13,1.1206347723469962e-16,1.2346611234124305e-16,1.1969744994592567e-16,1.1553658169667286e-16,1.1210875500891456e-16,1.093922336070784e-16,1.0736978176731852e-16,1.0602856747938783e-16,1.0536008103484728e-16
3,-6.925472608852577e-15,-6.97098781432001e-15,-7.062317357753917e-15,-7.200061470094462e-15,-7.385125425527065e-15,-7.618725491050849e-15,-7.902396545735673e-15,-8.127278173666864e-15,-3.7814478393208566e-15,-6.370586161853283e-11,-3.822840308222497e-15,-8.701662489711266e-15,-1.0605919943037871e-14,-1.3609119276125225e-14,-1.6736993841948264e-14,-2.0018198921823962e-14,-2.3482794206675432e-14,-2.7162519456982622e-14,-3.1091084820036206e-14,-3.3839999989305896e-14,-2.737871307846811e-14,-2.9144619041668546e-10,-2.762809406787423e-14,-3.730054624415807e-14,-4.7561884152115067e-14,-1.2472624527048684e-12,-1.0050916536057433,-1.159988603254566,-1.3083791117507664,-1.6550040996966993,-2.1528149945272945,-2.2882127376350483,-2.3226171176606436,-2.3250457461044642,-2.3340079537733294,-2.461185081169952,-2.6161187856669574,-2.879682648550328,-3.1499391364227876,-3.4299476132576796,-3.7511820578929367,-3.9217190577739225,-4.158183657208272,-3.6791435661220953,-3.562452749895742,-3.5542339299141803,-3.56227192485419,-3.676397773095572,-4.14516940940041,-3.863725827793545,-3.652470172360279,-3.1175763145559383,-2.9388372675919596,-2.2415914173836193,-2.1023679466309377,-2.0176402046366393,-1.913807123696702,-1.9064889591608238,-1.9019144861902195,-1.8370478935412655,-1.5767901607731918,-1.1928137432018995,-0.8196752801917861,-0.4303830122322109,-5.738700538519217e-13,-5.315294272592741e-14,-3.9736163286954635e-14,-3.1194757335515713e-14,-2.2531637013583132e-14,-2.426765748840685e-10,-2.2324123811278346e-14,-2.8315191267635777e-14,-2.6030594463283688e-14,-2.276650981436617e-14,-1.9710992706321382e-14,-1.6836051433615785e-14,-1.4115348158816624e-14,-1.1523958045606281e-14,-9.038140647412758e-15,-7.462928591962939e-15,-2.784516366362367e-15,-5.376586597582709e-11,-2.7508328520184695e-15,-6.995518054894718e-15,-6.8587377914980795e-15,-6.694239209972865e-15,-6.55821193535152e-15,-6.450077946680645e-15,-6.369377330198118e-15,-6.315766851284735e-15,-6.2890184946772566e-15
4,-1.563881845337872e-15,-1.5689596798242211e-15,-1.5791318362337104e-15,-1.5944313429736744e-15,-1.6149078766590627e-15,-1.6406279168903643e-15,-1.6716650045602234e-15,-1.6902064445363864e-15,4.953251025304363e-15,1.2152832043016355e-12,4.95196758721777e-15,-1.7025052699757607e-15,-1.7044288370010575e-15,-1.7058028778192259e-15,-1.7246092682989175e-15,-1.7610441454136127e-15,-1.8154799373918445e-15,-1.8884730712945018e-15,-1.9807657365015632e-15,-2.047322030126635e-15,4.622934105902447e-15,-8.841109800408088e-13,4.61485504861566e-15,-2.1247621315761148e-15,-2.275842213316263e-15,-2.492884965312415e-15,-2.7354053864264424e-15,-3.0058863775064307e-15,-3.3070927225829785e-15,-3.6421032702451685e-15,-4.014338336808497e-15,-4.294080097873799e-15,2.5448331557629967e-15,-1.409186149626169e-11,2.494010174978581e-15,-4.78123307231133e-15,-5.870577942339044e-15,-7.444281294874113e-15,-9.094074019996968e-15,-1.083682389848945e-14,-1.2690344847030985e-14,-1.467358305221005e-14,-1.6806805660552696e-14,-1.842759957958159e-14,-1.0527721939355632e-14,-9.717687120027709e-11,-1.0847429610155079e-14,-2.149209009896102e-14,-2.8483689455448756e-14,-3.859161110678872e-14,-4.9094000890037423e-14,-6.009821621291265e-14,-7.171673928960657e-14,-7.038111032869504e-12,-0.43014179520045276,-0.7337163284258541,-0.8313019103876932,-0.8416357474508036,-0.8513637617098324,-0.9432244216389631,-1.0454208610432043,-1.188948580185483,-1.3321035512845534,-1.4999461141505672,-1.667439732947813,-1.8474732515671715,-2.0274328379439694,-2.1553750779928005,-2.186314668104668,-2.189591618128199,-2.1931930302411446,-2.227206244958768,-2.3329495280502455,-2.482063485578365,-2.6581378455090183,-2.834902339838414,-2.9635213720492066,-3.0931143790107933,-3.2236704500267916,-3.2807509110552173,-3.299192453387821,-3.3011462342380296,-3.3038649527620914,-3.329546092817157,-3.4095409070147364,-3.5224879590774583,-3.6365004643102994,-3.751823117371017,-3.84440595397337,-3.9386849881961137,-3.9900194579877577,-4.027701352734747,-4.039985498380405,-4.041287973871226,-4.0443269322085,-4.073039455310999,-4.162810180847876,-4.1539843815773825,-4.14808186788633,-4.055654956787193,-3.966081005328346,-3.8790765585843268,-3.756218171360167,-3.670242221140316,-3.6427182244157903,-3.63504830067119,-3.6289184894433952,-3.571047875055684,-3.3916106038702605,-3.139756537725752,-3.0662123382083974,-2.9932023843046776,-2.921307892559762,-2.5760175230450177,-2.231074268870736,-2.195094539620661,-2.1834686752365897,-2.1822376373170638,-2.18084527311572,-2.1676984916991335,-2.1268183687108597,-2.0696270174920026,-1.8175881675418855,-1.5657891643487565,-1.4306539216576306,-1.2950999765481486,-1.1592121406579108,-1.0326912144942637,-0.9919286569153455,-0.9876119727918743,-0.982932250495405,-0.9387410043415542,-0.8012624845342806,-0.40211252675166,-6.582041044949922e-12,-6.796556006046424e-14,-5.548220945060613e-14,-4.3565983018962274e-14,-3.209507127228735e-14,-2.4160828774021085e-14,-1.2978055844876011e-14,-1.1044552401223074e-10,-1.2615403299366207e-14,-2.068469920614252e-14,-1.8849684881488675e-14,-1.643515523532612e-14,-1.4188616160064002e-14,-1.208710926376322e-14,-1.0109153514873218e-14,-8.234530786197323e-15,-6.44407512585563e-15,-5.204818772637036e-15,2.155917407844825e-15,-1.6197284720871078e-11,2.2135796897590003e-15,-4.652109118189534e-15,-4.33803943526145e-15,-3.920689729254275e-15,-3.5434121543059398e-15,-3.2023543749729544e-15,-2.8940301921357807e-15,-2.61528799893724e-15,-2.36327464251915e-15,-2.1879720480978066e-15,4.564925947580817e-15,-1.1945473789184209e-12,4.574170729439745e-15,-2.099358139368085e-15,-2.025621675964053e-15,-1.9236657075253543e-15,-1.8413689965396687e-15,-1.7778942584074983e-15,-1.7325926724165337e-15,-1.7050011772490127e-15,-1.6948338381798982e-15,-1.6865967936042128e-15,4.968038772542168e-15,1.318523021979325e-12,4.970001382776137e-15,-1.6677862059346861e-15,-1.6333930133121157e-15,-1.5816759594189292e-15,-1.5390183581345988e-15,-1.5051820312301205e-15,-1.4799730395043194e-15,-1.4632468911845498e-15,-1.454907716080477e-15
5,-3.637623539928398e-15,-3.661939774574576e-15,-3.710734789347779e-15,-3.7843347617690494e-15,-3.883231681781733e-15,-4.008086640431941e-15,-4.159733347730213e-15,-4.2801844752433644e-15,5.536742018549128e-16,-2.3737732039287996e-11,5.279523083290817e-16,-4.593223098702937e-15,-5.5376507210015175e-15,-6.998694910244434e-15,-8.528712913491073e-15,-1.0142784206684568e-14,-1.1856815996957378e-14,-1.3687700635132176e-14,-1.5653481267790932e-14,-1.7061039982368796e-14,-1.1207986487054434e-14,-1.21811842154336e-10,-1.1371313575191935e-14,-1.9048752330848834e-14,-2.4524930280319317e-14,-3.2960853677387895e-14,-4.1721616390939646e-14,-5.089355944982773e-14,-6.056707539019218e-14,-7.083749991929471e-14,-2.0910242908207947e-12,-0.6334936177227413,-0.8017858186982372,-0.8154675324415039,-0.8246039632116393,-0.9369477331820706,-1.101399128680146,-1.343335904898412,-1.6633806503458985,-1.9094076814229193,-2.1587176597535063,-2.4562975698038305,-2.685512593737561,-2.845149056539743,-2.8538203661939514,-2.854528883857169,-2.8607690172319127,-2.937557287961491,-3.227781851698368,-3.3015561029384113,-3.3954957562861927,-3.7647607102522187,-3.8337184510188593,-3.9332172029109014,-4.157100626988321,-3.885668991678877,-3.8146109992321553,-3.8088398541412682,-3.8143471651062457,-3.8821604425547225,-4.141510841112465,-3.8747697845694384,-3.740737849611397,-3.6399041824704583,-3.1355217948289624,-3.018649650106501,-2.92368817787032,-2.4560050886307643,-2.3316563051327317,-2.321547868391786,-2.314657975365293,-2.2299479260141304,-2.1653798696672095,-2.0755435807564924,-1.5527753838221086,-1.3648483942034733,-1.1785086257687738,-0.7836604188849051,-0.31922998979830775,-3.0685074216064273e-12,-3.245175779419566e-14,-2.955992736333523e-10,-3.205473198218583e-14,-3.977043025160454e-14,-3.632984918565747e-14,-3.1517380136117217e-14,-2.7015524152350257e-14,-2.27799151050483e-14,-1.8768809664539505e-14,-1.4942677058402444e-14,-1.126380879139095e-14,-8.876397360407247e-15,-2.974221533827327e-15,-5.258120453959435e-11,-2.902800715835733e-15,-8.007196522509987e-15,-7.38443916280809e-15,-6.514777123051532e-15,-5.7093196704595954e-15,-4.960129453774941e-15,-4.2598229553744834e-15,-3.601498422768011e-15,-2.9786672320128686e-15,-2.5770583435165e-15,2.208580844686812e-15,-9.866752244581435e-12,2.219496972581314e-15,-2.4442082433774404e-15,-2.404685194099405e-15,-2.3553656895379944e-15,-2.3145335289187517e-15,-2.2820430046650904e-15,-2.25777702041271e-15,-2.2416481209481942e-15,-2.2335981773149208e-15
6,-6.325706383057346e-15,-6.337765316713914e-15,-6.361906172428989e-15,-6.398174970830132e-15,-6.446640852501344e-15,-6.5073962096102024e-15,-6.580555996438182e-15,-6.6482859144689875e-15,-2.5502222150217582e-15,-5.223581106870942e-11,-2.5786832103209052e-15,-7.0517709854313464e-15,-8.468615496657461e-15,-1.0712379689868467e-14,-1.3052863853314545e-14,-1.5511200041077332e-14,-1.8109584140556797e-14,-2.087147650722317e-14,-2.3821813433264994e-14,-2.5880816783239193e-14,-2.0211128859178182e-14,-2.2678465852529968e-10,-2.0391521520896833e-14,-2.843820537627147e-14,-3.610827493032527e-14,-4.818795675891062e-14,-6.070271887657208e-14,-4.574701028614247e-13,-0.5500128783015287,-1.0339735464806377,-1.2533105262525028,-1.685990602987543,-1.7323920333323213,-1.735589889027543,-1.7407906957242567,-1.8163143813876983,-2.125175862365601,-2.503513284807756,-2.9141877491623434,-2.9517346698802918,-3.0534798866617265,-3.4919801743896834,-3.73272558168366,-3.5833879265164943,-3.5502135569455415,-3.547940270425599,-3.5729002083503207,-3.9354246300016773,-4.166070479265658,-4.158211266636177,-3.9446299750998977,-3.866366139576392,-3.658078173484865,-3.130952656810625,-2.927685170199065,-2.4104699663749245,-2.2848644283565864,-2.2762167279768493,-2.2766522034985535,-2.283039162073629,-1.9167637497155008,-1.7873716232201848,-1.6688892715130632,-1.160872828341626,-0.8360335230785312,-6.451906972049156e-13,-4.635406018622463e-14,-3.6450595540827997e-14,-2.7088811095041846e-14,-2.9243324156545715e-10,-2.685566952704558e-14,-3.3145396865478256e-14,-3.047489486243389e-14,-2.6645918370435417e-14,-2.305752281910596e-14,-1.9677309607721427e-14,-1.6474759382531612e-14,-1.342095687778145e-14,-1.0488329604598877e-14,-8.634024437761063e-15,-3.902013417666928e-15,-6.520814194815783e-11,-3.863272386488838e-15,-8.08480116205541e-15,-7.88879651908845e-15,-7.644959940032314e-15,-7.443807920094477e-15,-7.284217713447642e-15,-7.165298262953525e-15,-7.086385592854776e-15,-7.0470391015536225e-15
