Pulse,0
Type,square pulse
Delay,0.01
Duration,0.2
0,-9.080314397872198e-05,-0.017884923448438762,-0.2380452795024665,-0.9077315658706346,-1.0505140507933888,-0.11635575919875508,-45.39863928359957,-89.80374012439857,-133.749961155117,-177.64423092216066,-183.02294575422383,-184.46224722695666,-184.57741628679295,-185.58214373589828,-200.08600548213522,-254.98214913543168,-338.6222084810529,-312.21929401344823,-287.5677503114915,-264.19017228799817,-241.64073284645318,-241.3777523233053,-240.3249577312269,-240.06069770508336,-240.0396254990313,-240.02729395351673,-239.87385254105,-240.7750841209598,-236.52746545984007,-232.46386024751035,-228.5313189306784,-224.68014065775446,-224.30956803285707,-222.58640634440965,-222.62856080428955,-222.64155256737865,-222.64260048912112,-222.62037859647324,-222.34261897975335,-220.7403398010989,-218.35837586432189,-215.98966509632055,-213.62250506714142,-212.4761371644702,-210.81887293172565,-209.40852644495556,-208.46832219041573,-208.21943519584528,-208.19953125789587,-208.17224030489643,-207.83098169252412,-206.60183771328897,-204.75129949378103,-202.8926663770118,-201.60055761298116,-200.29990752494967,-198.78724011799247,-197.270309706072,-196.25807350197934,-195.98994296712502,-195.96849917838475,-195.966073909568,-195.93573649237618,-195.069671347772,-193.77012767266842,-192.32616527921573,-190.8863858709189,-189.32427805388983,-187.76520154155872,-186.20776023006786,-185.17130378825954,-184.8969381864443,-184.87499649559004,-184.83035046456038,-184.2720726829747,-183.36063182419596,-182.22955255865065,-181.0980697544896,-179.53321816622204,-177.94319529921765,-176.35339947605468,-174.76165753500806,-173.69941033343537,-173.4179210620093,-173.39540827342884,-173.3757140523769,-173.1294282974801,-172.2325312926984,-171.9434466917616,-171.66222631392594,-169.89371071035072,-168.1412135187013,-166.3981669789659,-164.65823758595045,-163.7154654257272,-163.46569341410137,-163.44571758042898,-163.43757160585298,-163.33569676396777,-162.40617641438138,-161.00528397564764,-159.6215740406391,-158.22793835467235,-156.82145661888478,-155.39889011732592,-155.25352182638983,-154.70144886989598,-154.5552646956337,-154.54357406042405,-154.54194689110238,-154.52160063503965,-153.91879372894763,-153.0185860687277,-151.52514096814272,-150.03628251805156,-148.5472930046494,-148.46528329669954,-146.73156368168637,-145.5796903016795,-145.27467603482023,-145.25028254363104,-145.24503458762592,-145.1793994513043,-143.87581890511692,-142.9679687030619,-142.05207067818472,-141.13047368164573,-141.09779484214252,-139.72401084818398,-138.35775068121535,-137.45050188067998,-137.21039476157162,-137.19119291809955,-137.1858079720637,-137.11847153693583,-136.26795148541777,-134.98964893302656,-133.7077492570836,-133.61473848659932,-132.3211413706347,-131.03195821230207,-129.7439361200627,-128.8852474772007,-128.74716258143752,-128.73611877481403,-128.73383039392283,-128.70520477774133,-128.04200283224841,-127.0444542076386,-126.77416620367825,-125.63162755397627,-124.4962266966792,-123.36587768642435,-122.23861979878828,-121.30939558805193,-121.06328944801638,-121.0436069398623,-121.02385603014915,-120.77686880510221,-120.60382076488999,-120.06507348282565,-119.03699650992027,-118.01391732102067,-116.99422130069448,-115.97637769264892,-114.72604152687646,-114.25275186594283,-114.12733242317813,-114.11730188615087,-114.11471457655864,-114.0823557430494,-113.44993209261646,-112.5184216956201,-111.58508783305237,-110.64891173136553,-109.70880416597709,-108.76357846248607,-108.06777385712633,-107.6019350160224,-107.49546326892703,-107.48694803760128,-107.4630652492507,-107.1644175189756,-106.62039426937928,-105.79852405455281,-104.97180152440575,-104.13978927170521,-103.30191877202085,-102.91501881574415,-102.527533176984,-101.67063469887061,-101.44385462432288,-101.42571841770632,-101.4011757443348,-101.0942792794221,-100.66291312471118,-100.01218337526353,-99.3604662905162,-98.70939966045643,-98.22683144334411,-97.39157153332503,-96.434551537874,-95.79934378033661,-95.63126783821548,-95.61782663916732,-95.6083660184662,-95.49006758782504,-95.04326643232862,-93.82311447851522,-93.1567733254988,-92.48730094733268,-92.00970217384119,-91.06220977448487,-90.11511296342678,-89.48329226893256,-89.31583602168975,-89.30244311986985,-89.29670773310907,-89.2249756191216,-88.95316332142198,-88.51771229605637,-88.0847233902295,-87.24108544768836,-86.45041871119992,-85.66148093724155,-84.87258925457736,-84.3464093834928,-84.33342407229225,-84.33238529032364,-84.33032583485884,-84.30457038805987,-84.2073439957089,-83.51528677397431,-82.82801938099517,-81.94630646184442,-81.0655516382129,-80.18242559207877,-79.71068243415337,-79.39466834117461,-79.31095162358085,-79.30425644500491,-79.30325054887379,-79.29067031420692,-79.24332432728839,-78.06758245967856,-77.41143463016994,-76.75331926094331,-76.09287479240015,-75.47089936864401,-74.8463063811129,-74.42887505429857,-74.31824046191701,-74.3093921527131,-74.30620731795656,-74.26637453702017,-74.11553073681341,-73.47964896986474,-72.84448840059125,-72.20900668794253,-71.64841802219784,-71.08651754947222,-70.52333239147335,-70.14761463142457,-70.0480929089875,-70.04013364235561,-70.03002577865684,-69.90362808414781,-69.81417269262246,-69.22925043499451,-68.64558097481707,-68.0288886898373,-67.41137335568355,-66.79173123675628,-66.16860588050223,-66.07146513623,-66.04568653830445,-66.04362493518074,-66.03179276977568,-65.88383769592471,-65.32179679475757,-65.14899589335849,-64.51750327826073,-63.88527183202534,-63.250588511651785,-62.611679499143854,-62.17639878778254,-62.059154565171546,-62.02802368063437,-62.025533870302034,-62.02213233759357,-61.97959580240666,-61.83274832342327,-61.277697538947066,-60.72426679220415,-60.17150387068982,-59.61847311538996,-59.093492626181934,-58.56676860460218,-58.30341244130454,-58.23362496553079,-58.228043633913565,-58.22083136674478,-58.13064215265997,-57.789606344934235,-57.28676070728312,-56.78136509075884,-56.2726595578356,-55.950525943006056,-55.626156307843395,-55.19803217969944,-54.9130201515551,-54.83759031526713,-54.83155811537258,-54.82042785092075,-54.68125049800675,-54.15524559557847,-53.743838720708986,-53.32882862430567,-52.926460493519095,-52.448466953420386,-52.06766753909605,-51.684743347262376,-51.42901712403352,-51.36128869958412,-51.355872189344915,-51.350087772629514,-51.27775499486094,-51.00435231018447,-50.228233834145506,-49.996979492717514,-49.694538955299194,-49.3909539095743,-48.94627006374661,-48.50173514867214,-48.2056794739928,-48.12728846497398,-48.12101924791453,-48.114403936744566,-48.031681121246365,-47.71896565154957,-47.28342000882205,-46.812777678793196,-46.33905998691624,-46.007885856964634,-45.673442037523294,-45.33659870688625,-45.11133618201522,-45.05165089618367,-45.04687751516899,-45.04150951429938,-44.974382583377896,-44.72055322009989,-44.35724858849512,-43.99285372694408,-43.62737416953081,-43.21159380489924,-42.79392072439347,-42.37352134539641,-42.34867773406002,-42.3420772347701,-42.341549490248674,-42.340225618472374,-42.32367321487088,-42.26141651347973,-41.6218321953753,-40.98225648662821,-40.6468659559865,-40.307974887691344,-39.96600364772869,-39.66390645341923,-39.46161674123332,-39.4080022081228,-39.40371427525641,-39.402767372512756,-39.39092352502025,-39.34610664703374,-38.83952482375544,-38.49015273573438,-38.140387330629885,-37.79002183164947,-37.636224001834194,-37.216552091181256,-36.93764605098011,-36.863814894231034,-36.857910392640065,-36.85331335323724,-36.79582860483599,-36.57855234414577,-36.16351364090345,-35.97836899838195,-35.79355796824575,-35.53297820428235,-35.09581766556198,-34.660446301552014,-34.37079645615049,-34.29408244274428,-34.28794719911708,-34.28666148258371,-34.27058067355883,-34.209703936866774,-33.9293970018651,-33.65095943169664,-33.495536349700025,-33.078000428953324,-32.663298565367526,-32.249853135121285,-31.97446824384146,-31.901502048828352,-31.89566639813088,-31.89236066105486,-31.851018909865658,-31.694488610329724,-31.58774305257821,-31.482252544380874,-31.141907666290017,-30.804257222372556,-30.468344531872724,-30.13325598800614,-29.910173033730757,-29.899583648197133,-29.898736769588325,-29.89496859082577,-29.847849482963383,-29.66981941827417,-29.53987388570056,-29.222782913556173,-28.907235804457187,-28.59263689206997,-28.27841401316418,-27.964004325311414,-27.75876590557164,-27.704380550486764,-27.70003095534762,-27.696142444287233,-27.647514884674877,-27.463516755763617,-27.209930646930566,-26.95467319950506,-26.697582776437777,-26.438452306419496,-26.373688399638688,-26.102222264000904,-25.921450022201185,-25.9081828568138,-25.907121858731088,-25.903174026579162,-25.85380870930444,-25.6672829458716,-25.36690343402136,-25.065153498372016,-24.761098735390604,-24.58749207874999,-24.41152192707899,-24.191655705168067,-24.139143077364494,-24.125258316682746,-24.124148101563925,-24.119576023255274,-24.062406983253602,-23.84651693408362,-23.500546945145683,-23.152817954025252,-23.044235291590986,-22.934427882237152,-22.63359732556995,-22.3843726517174,-22.218405076720664,-22.17446671786721,-22.17095284660063,-22.167351651399937,-22.122320107616027,-21.952133254672976,-21.715070205593346,-21.469701892728644,-21.223864174595427,-20.977445155487075,-20.72846830079673,-20.47861224396592,-20.311592584330125,-20.26731465870999,-20.263773345244967,-20.263586116315746,-20.2612408784426,-20.252222397431428,-20.000521751313165,-19.749317823491406,-19.497928260776646,-19.28530017157243,-19.07168540253157,-18.85694540627101,-18.847097549780475,-18.844525161810054,-18.844319730271,-18.839848921591976,-18.78394765525706,-18.572936819132988,-18.272205402531295,-17.970403398991742,-17.791211933794898,-17.610577523192905,-17.42918717437777,-17.183768690876366,-17.0201632679453,-16.9768261923941,-16.973360286577176,-16.969217222664824,-16.91740834225191,-16.721472503477585,-16.587742119651097,-16.404029184360333,-16.225484145159136,-16.047110640094004,-15.816453473406124,-15.586064011868142,-15.432670959282175,-15.392053906067007,-15.388805601170443,-15.386140557389208,-15.352814516753185,-15.226831776883856,-15.034570690096029,-14.680383236034961,-14.515917095339333,-14.349456609737555,-14.181436550254098,-14.01225303050663,-13.899113487917353,-13.869134729134625,-13.866737144208248,-13.865318259557977,-13.84757431167011,-13.820869991741846,-13.651120965374817,-13.449494902427503,-13.248863458664665,-13.048953030428647,-12.84950788598877,-12.650283826678093,-12.528843562295982,-12.496700187683114,-12.494129627857207,-12.491697551849525,-12.461285802294244,-12.346390541334781,-12.130020530996752,-11.913261044081601,-11.695594006535426,-11.476478848701948,-11.255339106136118,-11.175631318055075,-11.121790299266422,-11.118994737747569,-11.118771223778273,-11.118397060198788,-11.113719273834674,-10.94626692207407,-10.758640995310628,-10.570911370181609,-10.3829893390972,-10.194781425270447,-10.020405129750161,-9.84771260693694,-9.721685777545494,-9.688314883711683,-9.68564608877962,-9.683658052472177,-9.658797924753825,-9.564834818080826,-9.373332487255468,-9.181717600696022,-8.989722122714271,-8.84196368519944,-8.7320955461325,-8.622894209366356,-8.429510991268769,-8.378353635496985,-8.374262543334705,-8.370883837475574,-8.328635437687554,-8.16900594432274,-8.01575808712098,-7.862193906556923,-7.7086564004871185,-7.495757242336024,-7.282685303277802,-7.106321453751967,-6.988450673610141,-6.957209518524156,-6.954710914282179,-6.954065316867595,-6.945990101393842,-6.915386658667896,-6.775799882521424,-6.637154340239878,-6.521488287320519,-6.407692904847108,-6.296457628386341,-6.008398799210744,-5.817627558303615,-5.7671474415172135,-5.763110440612458,-5.759875774529203,-5.719427642013514,-5.566538997115938,-5.530512265680724,-5.349653009234245,-5.16935109164451,-4.989318910102051,-4.827293027821537,-4.665245024932325,-4.5573625022815705,-4.528805690305853,-4.526521943858766,-4.5263758132328205,-4.524548513469253,-4.4985759937410315,-4.294037429266567,-4.0904236927283995,-3.887098047330965,-3.7200329507487764,-3.5525373030975613,-3.3845113858639277,-3.320492985540727,-3.305318596909594,-3.304105126193329,-3.299729140562391,-3.245010474839309,-3.038228875556287,-2.907380546454883,-2.7753440597508288,-2.6425748441169112,-2.5042551111951195,-2.3659910350091873,-2.151994785001273,-2.012695507958807,-1.9757764152631456,-1.9728236766723164,-1.970060454694483,-1.9355045994637217,-1.8046939929149322,-1.6574426506711752,-1.50827296149423,-1.3027525682160574,-1.1825956125172805,-1.0593768720704324,-0.9275328000742424,-0.8377486938296677,-0.8138011449402722,-0.8118851738538754,-0.8052247418983596,-0.7219288422883531,-0.444486591010212,-0.23707859553365726,-0.022114542825617648,-0.00017603019553038353,-0.028877984074012382,-0.04857655626378686,-2.8153306295092005e-07
1,-0.00015966537806214756,-0.37202442398784896,-4.738714528326285,-20.570380379195058,-43.79523925311261,-66.78596444094282,-89.60952131286413,-112.32984040623201,-135.00897804319987,-157.70824292317366,-173.03586862369505,-177.24941311215733,-177.6081622630304,-177.6563951503074,-178.22349757329258,-186.17776915377007,-193.68828466218173,-201.3375700875075,-209.1210317226346,-217.03651174289234,-225.08424903213913,-233.26688351954397,-238.86653420923875,-240.4122326412459,-240.54386846571555,-240.6253568187984,-241.58314124018509,-241.27651890996768,-239.89538812695187,-237.0725496531876,-234.36173107928133,-231.74109830240565,-229.1904544846391,-226.6908733924163,-225.03134358644147,-224.57736223445778,-224.53872031246158,-224.5257572367984,-224.373555469601,-224.0485005916771,-222.48845928169519,-220.8838417172501,-219.29540580915233,-217.7203409981957,-216.15607946880803,-214.60024953201764,-213.55763157183577,-213.27186266660294,-213.24753628701498,-213.2299562891254,-213.02346881352915,-212.4854682265453,-210.14757280627427,-207.81173476005543,-206.33662677485026,-204.85709996757427,-203.3733130656138,-201.88534745708725,-200.88140213567902,-200.60566900829264,-200.58219411279043,-200.56660929979327,-200.38352475765862,-200.24906159605848,-198.67536249843005,-197.10148911338098,-195.52509689999462,-194.3771180010067,-193.22527505255835,-192.0705429528223,-191.29228937418873,-191.07866370187082,-191.06047709252084,-191.05471257993673,-190.986995152268,-190.925113839457,-190.7910480917706,-189.10673566539452,-187.43387437917175,-185.76902224369138,-184.23049071300454,-182.6944498114374,-181.66117734499323,-181.37759350372122,-181.35345116258162,-181.34743882078382,-181.27680871323116,-181.01933256188818,-179.48785250260727,-178.12530478918026,-176.76292457565285,-175.39940237694165,-174.03340797595985,-173.1211044531197,-172.50622874246108,-172.3375145919082,-172.3231518715106,-172.31610217401735,-172.23329435670922,-171.9318750608997,-170.4539200706938,-169.00260413763516,-167.5530615867737,-166.10344276249572,-164.651896624493,-163.577189936734,-162.8523043854115,-162.65328569185766,-162.63634241574286,-162.6320994192942,-162.58225255266257,-162.40050855988164,-160.9612029507438,-159.53999879998548,-158.11841160551728,-156.69413165076134,-155.26480033381543,-153.82796734855893,-153.66904942952945,-153.62510549131494,-153.62136314754403,-153.61880016710282,-153.5886791224145,-153.4782786094517,-153.03749511266207,-152.01230527165018,-150.9917237662171,-149.9750561189236,-148.96167890589737,-147.95102843897558,-147.27252820422473,-147.08648122006548,-147.07064341985472,-147.04520551011373,-146.79927758635023,-145.903275146998,-144.47245917990546,-143.84248650832419,-142.8114699405292,-141.780103203002,-140.74836229630958,-139.71621642821938,-139.0214667998236,-138.83081021505586,-138.81457923301622,-138.7929491160974,-138.5388671883357,-137.61259603813116,-137.1817027898851,-135.7876700675173,-134.80492237904147,-133.8205977829427,-132.8347994874372,-131.84760394668,-131.182490339146,-130.99991083616752,-130.98436718629944,-130.97147899638185,-130.8200817958198,-130.26803873002612,-129.62079746246718,-128.84437601514895,-127.78086991823923,-126.7192897820297,-125.6586159204053,-124.5978451000808,-123.88339265771522,-123.68724593884681,-123.6705470785461,-123.66641269401298,-123.61784039030512,-123.44057018957689,-122.20066290442298,-121.50760461019048,-120.64467749703002,-119.7816889744846,-118.9184736116486,-118.05486185947747,-117.47341837681907,-117.3138365370937,-117.30025090184067,-117.2817080973322,-117.06389053102681,-116.26972774007243,-116.03609508988384,-114.87460149073189,-114.66988983836495,-113.73520302941552,-112.80260558043392,-111.87107673937876,-111.24436794544278,-111.07237211029715,-111.05772963899774,-111.05044563969986,-110.9648806295838,-110.65296234231442,-109.9176591008465,-109.1840223737304,-108.41387307185565,-107.49460846223778,-106.57624307138039,-105.65765021172065,-105.03868590657456,-104.86871739542602,-104.8542469948749,-104.85239504474471,-104.83063206682075,-104.75097252318781,-104.66403917593334,-103.26461703815202,-102.63076235614663,-102.31842176309192,-101.45898911081562,-100.60177178652532,-100.0255590799162,-99.86744871207758,-99.8539884611484,-99.84007779012583,-99.67667330087326,-99.08095674620102,-98.764769103415,-98.24377633529816,-97.61905127616367,-96.90880097627198,-96.20055026161964,-95.40599507798171,-94.87188032669376,-94.72533300972711,-94.71285722373612,-94.69937471709858,-94.54100078432043,-93.96369351982892,-93.76186365161847,-92.58490052209542,-92.29115518574032,-91.99857631820994,-90.83334963481987,-90.06856661512097,-89.55363714098138,-89.41228282927314,-89.40024877265333,-89.39007109541151,-89.27051350665766,-88.83448523208196,-88.75797894421007,-88.16076335208525,-87.68946848138512,-87.22245210620146,-86.28330781179687,-85.34723134844492,-84.7378108167559,-84.57054317918313,-84.55630307335221,-84.54931208556638,-84.46718698082475,-84.16762758350525,-83.90355062021872,-83.01797714954121,-82.58061331042111,-82.14405510914982,-81.44608690992021,-80.74912430433488,-80.28023928921877,-80.1515504124328,-80.14059473390269,-80.13365777204913,-80.00196147488903,-79.5217577021804,-79.26512686019174,-78.08703397779401,-77.67357483915126,-77.25641603005188,-76.8301067908799,-76.4018966463971,-76.11305563290881,-76.03376778466648,-76.02701778000437,-76.01934364779756,-75.92919734474224,-75.60056924311037,-75.29602155950414,-74.6966292337698,-74.09789187544703,-73.60056073453075,-73.10326095833415,-72.60621818671852,-72.27195543520708,-72.1802597165936,-72.17245366041254,-72.15888312325589,-71.99947686267781,-71.41845961757093,-71.15219223144945,-70.51530711591775,-69.87749742406156,-69.4664102888961,-69.05432506722752,-68.51464838352675,-68.15132501779149,-68.05160730238127,-68.04311805469935,-68.03541537872388,-67.94493341767591,-67.6150546610296,-67.12430098762106,-66.64706072887606,-66.16949553991758,-65.64640529446149,-65.12284959094411,-64.63581501107159,-64.30765223686059,-64.21756599832558,-64.20989661872505,-64.20330739829191,-64.1259039285456,-63.843654291905096,-63.423715954071675,-62.609267007355626,-62.36636568616659,-61.989201003199014,-61.61124299477818,-61.150149672995795,-60.83969723118414,-60.75448943279616,-60.74723545247064,-60.73876906124843,-60.63931624192599,-60.27671409554222,-59.73657330312365,-59.55065789183416,-59.364525046313005,-58.868811537269565,-58.37422828970762,-57.906152121606574,-57.59138082168633,-57.505014549056895,-57.497662071442946,-57.49064379554089,-57.40820287930589,-57.10772199967792,-56.66091691820758,-56.14901283850168,-55.6359949050514,-55.52942068883573,-55.09377421970622,-54.65869903304511,-54.25127885413422,-54.13945555380691,-54.129935632186594,-54.122569512198965,-54.03603947403902,-53.72044583066253,-53.249919975665954,-52.98660152497322,-52.72199920005163,-52.45701282417018,-51.96776835425911,-51.418950648145604,-51.3693256501993,-51.35569692988183,-51.35453678160063,-51.345546405498595,-51.23994128615306,-50.85505353245195,-50.281967928600594,-50.12183437294125,-49.76108298428811,-49.39970538646251,-48.71617928874652,-48.422802778076395,-48.38886156680836,-48.379514057084045,-48.378718269171365,-48.37305565326143,-48.30653923174121,-48.064114986398444,-47.70385466149109,-47.29326834615515,-46.97017495648559,-46.64726259925775,-46.109646450614555,-45.571239590367554,-45.491153517591904,-45.46912815902786,-45.467252968679524,-45.46160831901739,-45.39530144775911,-45.15354468780006,-44.793744769235154,-44.68882953168574,-44.20854042400286,-43.72854800018219,-43.3738646403555,-43.01834558237388,-42.77853100476035,-42.73243345879759,-42.728508843307054,-42.71873401712931,-42.6884320443754,-42.57784447400765,-42.41360902598396,-42.035045938539184,-41.627330399909816,-41.21950915000575,-40.950721847741505,-40.6813304192299,-40.49987348284947,-40.45007839313028,-40.44583926084679,-40.44437309759627,-40.42715064839395,-40.15050072483868,-39.98122256637213,-39.6586294363178,-39.25577141510486,-38.852752202176454,-38.5779075172533,-38.302329831905624,-38.11656779066018,-38.065574167758264,-38.06123290760693,-38.060615295051264,-38.05335930695184,-37.89297332205949,-37.6549183778483,-37.572004311436984,-36.939864084406906,-36.307302595824034,-36.16209800002301,-36.01481394525423,-35.91505816758099,-35.887670899061206,-35.885339369292815,-35.882857531735176,-35.85370436849888,-35.74749108904923,-35.47173705870753,-35.20412821475701,-34.87974636057387,-34.555979713725314,-34.232494221443844,-33.932086160011345,-33.72983718790144,-33.674325521827264,-33.669599643546796,-33.6662927605433,-33.627447008007,-33.48581917057555,-33.15004364864127,-33.02003926178902,-32.731151316166226,-32.44272847310796,-32.154604620422695,-31.871679870835216,-31.681335914965132,-31.6291054386009,-31.624658970048777,-31.621918053717337,-31.589721411954187,-31.47239400654151,-31.240112338153697,-31.090555881121432,-30.62809343365589,-30.2886415348552,-29.94879361397081,-29.69400692214822,-29.521983149474,-29.47472977337304,-29.470706764641562,-29.469677993327227,-29.457590353701953,-29.413406496937313,-29.01547497803586,-28.920168910883625,-28.721588510748795,-28.523205277277956,-28.28653096058043,-28.05579379285029,-27.900745292521872,-27.85822020854434,-27.854600085992324,-27.850849342244636,-27.806791981499938,-27.646283870823176,-27.407989179529633,-27.101879085517552,-26.879872227280913,-26.657723857720683,-26.435567292415833,-26.173293016308303,-25.996783829256017,-25.94834044542644,-25.94421632556045,-25.94090107600527,-25.90195733552192,-25.75997567463586,-25.548828276408333,-25.177223617877964,-25.014973484390048,-24.85205763463988,-24.68897558867913,-24.418952340925948,-24.237247780931007,-24.18737299605157,-24.183126977964093,-24.18048478586078,-24.14944668080794,-24.03625645965362,-23.867934199319272,-23.635767059993388,-23.495701573774625,-23.231202340030112,-22.96679620515627,-22.66454418869242,-22.650472442066064,-22.64660306768133,-22.646273710190457,-22.641891198210246,-22.590412311185773,-22.402808860369177,-22.123680100231745,-22.083842330030887,-21.90488121928494,-21.65611338177469,-21.40788015210087,-21.159901328324914,-20.977367440067926,-20.927262218025703,-20.92299656182513,-20.92191409504753,-20.909197223973184,-20.793951434566754,-20.622559719720947,-20.451240033646048,-20.261442474043893,-20.019486877454924,-19.777420686754752,-19.53485081347919,-19.490163913774918,-19.477888708140256,-19.476843694062588,-19.4744779632825,-19.44668869524566,-19.345420806178975,-19.106634505187614,-18.867727885496357,-18.838751720554026,-18.571040166198014,-18.303502490895635,-18.035518184777388,-18.00874755889819,-18.0013858199266,-18.000759094222833,-17.99775137218184,-17.962420882643624,-17.83365232245574,-17.642228806539567,-17.416370225152768,-17.362124092185706,-17.116057568239256,-16.87022467644954,-16.624158566839753,-16.569394047823515,-16.554359717436437,-16.553079837325658,-16.548901612836765,-16.49982191926759,-16.320929723387597,-16.054545811045216,-16.028931562221405,-15.855493605385393,-15.647754718332962,-15.440128245883777,-15.232448842762595,-15.086874026329376,-15.046906761174123,-15.043504159686698,-15.04115068031931,-15.01350369530528,-14.912649145209224,-14.762438260909832,-14.612039624564858,-14.584703442933732,-14.337127798656027,-14.089950612071412,-13.84252078954917,-13.814425625530003,-13.806702155368438,-13.806044631351,-13.803747262831278,-13.776760948566887,-13.678407624660844,-13.532322364683552,-13.3864746405952,-13.31264430418512,-13.113859192066549,-12.915926824012788,-12.718594228550534,-12.586064978134086,-12.535805387058806,-12.531526743486612,-12.528965155661801,-12.498875387856396,-12.389220386670779,-12.226313162296542,-12.063524076495654,-11.916766401524086,-11.742799230340376,-11.54798423191373,-11.353281693190917,-11.222222398209752,-11.198543735100664,-11.196527888619656,-11.193398011809284,-11.156632047096005,-11.022585964177061,-10.82293611165522,-10.622554065389759,-10.552348300950444,-10.480451541719074,-10.408926975584714,-10.166576130278653,-10.003799097120195,-9.992193315243254,-9.991205341503166,-9.988526913539271,-9.95706508592107,-9.84243081129311,-9.672162655408913,-9.50197585545527,-9.33707315044962,-9.157215327730775,-8.977323788714285,-8.804915769366477,-8.688791615560536,-8.656915448733836,-8.654201717598175,-8.653076540329655,-8.639858724300677,-8.539886100146864,-8.391244124204793,-8.24259936668369,-8.047347447357591,-8.023908001526507,-7.825124134779545,-7.626782181953932,-7.48341309355255,-7.444061903981123,-7.440711792997602,-7.439382643780146,-7.423768547180587,-7.351910492931271,-7.245090174057843,-7.138532254079872,-6.946668353898713,-6.893388268052637,-6.712513519747536,-6.532211052360432,-6.4110882019216,-6.377859954346335,-6.37503120606719,-6.3731796702859675,-6.351430600155686,-6.311677139768414,-6.122368810648438,-5.933258237972163,-5.8426295033161155,-5.7523035753072564,-5.572989477511459,-5.394177571885162,-5.274038975871247,-5.2410808211370155,-5.238275068868452,-5.235089404776288,-5.197668880400434,-5.061276482513552,-4.858216159535081,-4.654379174575542,-4.589235934604074,-4.523526314684072,-4.374847663333702,-4.226234133523454,-4.126273855485591,-4.098848670957337,-4.096513941917867,-4.094875928951533,-4.075635021406612,-4.005533057990104,-3.8627105808467777,-3.5828560991393457,-3.490683026729113,-3.398245575749892,-3.3033089126851576,-3.1102331805910635,-2.9804784095189825,-2.944874675803493,-2.9418436579999385,-2.9393000840151147,-2.909421411496309,-2.800497000499417,-2.4881133426556206,-2.43462635686774,-2.3916551097404355,-2.3485500615871926,-2.1501074158294617,-1.9919665030237135,-1.885577295181623,-1.8563808041238092,-1.8538952357014644,-1.8522892374162163,-1.8334238366366482,-1.76465352769077,-1.5477692407463883,-1.330322261849667,-1.1536133154310375,-0.9752908533896424,-0.8909541176336216,-0.7594665297308327,-0.6698475287373593,-0.6451450636521393,-0.6430415216253685,-0.6395837216095711,-0.5989593418004583,-0.46102838704050236,-0.32998430555476027,-0.19582048929729537,-0.05782854994222819,-0.043618357238493895,-0.024122560119834924,-4.2926726870292196e-07
