distance (um),rise (mv)
0.0,--
40.51293776740505,0.20055154982487977
66.47005075871148,0.1999232153730901
84.36870071193907,0.20122301827706224
44.913310655714604,0.20195984098133124
49.73090268199499,0.19921879545293564
38.8026045290143,0.20119072328104437
71.81656860320639,0.19986569155540224
65.14028899582682,0.2016076541160885
87.45454106278831,0.20088883912559652
86.82272299454783,0.2006294378183071
73.01429885844523,0.19932842018165786
98.89159541059811,0.20032425556641442
21.196722930250672,0.20264502369352044
43.15257334662448,0.19819032476814868
63.35976242100016,0.19854614589209518
37.321603364045345,0.1998397424776357
61.649714836786735,0.20035030440702428
35.632192615409934,0.2014487470390094
23.850106933024744,0.20222794539640176
21.38613043591045,0.20226635242254076
88.53485276842045,0.2001049938999273
64.2133276027022,0.20173567291674033
85.01457776249204,0.20131982930230663
59.37206608788322,0.1974548008887922
41.94269226570046,0.1995644671074217
42.20539399316262,0.20132778092838066
146.45576481669397,0.11992853030288586
95.90314812152872,0.12207761413056062
189.67137540385616,0.11958114040706391
144.6508588860402,0.12096992006244989
112.74129497372758,0.12192109480292856
112.35660955764563,0.12152404173644982
77.18103569281311,0.12291401530669077
143.53510988936014,0.1212489299751951
140.20161758756285,0.12078424439683033
88.14835905250753,0.12092241322791608
142.68581824768177,0.1206998458931281
109.35347852393912,0.12133918555204559
169.9710822970821,0.11920195535478229
165.39885594449837,0.11982439204642503
83.90140563029897,0.12298644504299716
188.9372323256219,0.12015503006867334
114.77412871359164,0.12075448471242112
166.05697766386345,0.1205332275712152
158.5367598514373,0.12080895160694638
181.55351685022313,0.12008186279663846
89.47068478607567,0.12314650110344871
133.0259869089001,0.12067583039178942
160.0035720414797,0.12043607956877622
118.66800318654043,0.12170080272782968
117.90902509119366,0.12146720699969649
195.45317995857894,0.12008096375758726
168.3471577918399,0.12050649843408223
70.54389412023343,0.12210648341461194
185.46027394483733,0.11927725487403507
234.64701289446188,0.09521957425272376
250.2284239011291,0.09479438976049437
286.10655098142274,0.09461422963596533
220.34781892921623,0.09466467528676503
202.38818872528822,0.09536615077220745
274.3666331826424,0.09440182750367399
299.4290725827834,0.09454725046497003
298.41127222435864,0.0943753072236575
229.4829618682186,0.09510130432082065
249.9877464659148,0.09492582296444141
297.8488759316939,0.09465049833765704
223.50919054145706,0.09500191872649566
276.9753268859045,0.09481569716996319
276.6348385396783,0.09469969417220625
242.48281702535354,0.09478491741460005
191.29215341290626,0.09476572228579982
211.18788807317765,0.09493517595187484
230.67529369077434,0.09428138508708628
316.07191219018046,0.09438206232839264
258.54343086868863,0.09433326214532656
265.8061020282161,0.09465941961056501
253.52112675818668,0.09440676468098275
198.28906504953144,0.09497884484130736
281.27258220135633,0.09415067426427015
311.6905096344214,0.09443795855456472
184.10646876019112,0.09488010338844788
240.5748812982084,0.09446295672471194
105.29581603021806,0.11482049168959918
134.33434026487015,0.11302390409622376
150.03856627474582,0.1123683579246233
96.70958683128833,0.11490438134129022
80.52024642508889,0.11632425147597303
164.63755645654294,0.11189799059015115
187.69747966381618,0.11122434832020645
125.31088769949125,0.11393201795674202
204.31211632001725,0.11056264795335835
177.31804168462503,0.11179182931148546
197.01927814150187,0.11083291898076197
156.19837793915102,0.11239461258378469
119.63336791886901,0.11362361649189268
135.2694961831451,0.1131373592880891
159.7514233309124,0.11255692382935933
195.5955425270468,0.11106076034813839
100.12416156642303,0.11355194634079169
156.80034612683994,0.11227002637522787
106.51298017905522,0.11491644768949527
175.94386553281967,0.11149166950596623
187.1800098712252,0.11126829464042487
145.8562766262315,0.11251853414914592
118.96284676015986,0.11361306822773543
139.28075103892823,0.11256786894878701
173.16027674043397,0.11184335172613658
206.70857227490657,0.11091047228615025
79.47678401636406,0.11462024642662527
331.6626640648961,0.08650227628908169
317.67627103274003,0.08657160045754608
362.0150496938336,0.0861295139099667
